country;Code_postal;Nom_de_la_commune;country
FR;2260;LA FLAMENGRIE;FR
FR;2120;FLAVIGNY LE GRAND ET BEAURAIN;FR
FR;2520;FLAVY LE MARTEL;FR
FR;2600;FLEURY;FR
FR;2590;FLUQUIERES;FR
FR;2670;FOLEMBRAY;FR
FR;2110;FONSOMME;FR
FR;2680;FONTAINE LES CLERCS;FR
FR;2140;FONTAINE LES VERVINS;FR
FR;2110;FONTAINE NOTRE DAME;FR
FR;2110;FONTAINE UTERTE;FR
FR;2170;FONTENELLE;FR
FR;2540;FONTENELLE EN BRIE;FR
FR;2290;FONTENOY;FR
FR;2590;FORESTE;FR
FR;2650;FOSSOY;FR
